Rank,Occurrences,Lemma,ENGLISH
94,1683111,お,oh
95,1672746,活動,activity
96,1639773,東京,Tokyo
97,1638303,画像,image
98,1602809,会,Association
99,1600836,学校,school
100,1595930,映画,movie
101,1581916,時,Time
102,1579393,情報,information
103,1574457,性,sex
104,1570220,部,Department
105,1565260,より,Than
106,1563512,案内,guidance
107,1538836,質問,question
108,1525726,区,Ward
109,1517455,ご,Go
110,1481669,大,Big
111,1478919,上,Up
112,1427701,紹介,introduction
113,1399991,作成,create
114,1381104,日本語,Japanese
115,1368506,これ,this
116,1362274,位,rank
117,1354365,国,Country
118,1353558,二,two
119,1350292,一覧,List
120,1338807,作品,the work
121,1335698,ようこそ,welcome
122,1333300,議論,discussion
123,1323486,使用,use
124,1316977,村,village
125,1315020,出典,source
126,1313482,世界,world
127,1308850,テレビ,tv set
128,1302745,による,by
129,1296057,州,state
130,1294804,なり,become
131,1292933,三,three
132,1290330,問題,problem
133,1277358,昭和,Showa
134,1268451,線,line
135,1266391,郡,county
136,1259573,番組,program
137,1256470,ファイル,File
138,1249531,脚注,footnote
139,1234773,賞,award
140,1226315,なく,Without
141,1223724,なら,If
142,1210226,自己,self
143,1195373,話,Story
144,1187563,ず,figure
145,1173356,により,by
146,1161388,分,minutes
147,1157920,前,Before
148,1152408,代表,representative
149,1150255,たら,Tara
150,1148822,せ,height
151,1142394,化,transformation
152,1140029,平成,Heisei
153,1135681,に関する,related to
154,1127693,できる,can
155,1116960,出身,Birthplace
156,1116740,仮,tentative
157,1116515,スタイル,style
158,1116135,ガイドライン,guidelines
159,1102001,思い,thought
160,1095831,方,direction
161,1087057,外部,external
162,1082809,数,number
163,1082067,五,Five
164,1080586,内容,Content
165,1076772,児童,children
166,1072424,関連,connection
167,1072012,ヘルプ,help
168,1070173,現在,the current
169,1069553,時代,era
170,1068655,元,Former
171,1057447,それ,that
172,1049423,研究,the study
173,1046962,新,new
174,1046053,注意,Note
175,1045860,他,other
176,1045552,金,Money
177,1044486,局,station
178,1041465,機能,function
179,1036602,あなた,you
180,1035310,除去,Removal
181,1027993,鉄道,railway
182,1023820,項目,item
183,1023454,】,]
184,1022237,【,[
185,1005563,目,eye
186,1003047,とき,time
187,1001072,用,for
188,992390,曲,song
189,988200,社,company
190,987547,使い方,How to use
191,973655,必要,need
192,971572,説明,explanation
193,966733,基本,basic
194,964460,によって,by
195,957096,大学,university
196,938353,変更,change
197,926059,水,water
198,921207,新しい,new
199,920913,チーム,team
200,916280,執筆,writing
201,916124,道,road
202,911491,間,while
203,909909,型,mold
204,908169,でしょ,right
205,896912,サッカー,soccer
206,895408,大会,tournament
207,892842,ガイドブック,Guidebook
208,882129,地,earth
209,881973,のみ,only
210,877495,み,fruit
211,877199,書か,Written
212,871249,べき,should
213,869955,たり,Tari
214,868784,ブロック,block
215,867807,私,I
216,867139,戦,war
217,866192,公式,official
218,857571,出演,Appearance
219,852548,可能,Possible
220,850347,登場,Appearance
221,848832,等,etc
222,847282,系,system
223,843537,特別,special
224,840711,監督,director
225,836560,氏,Mr.
226,834502,次,Next
227,825961,だっ,That's it
228,824560,高等,high school
229,824252,時間,time
230,821769,き,tree
231,819632,～,～
232,809599,内,Inside
233,807338,音楽,music
234,806029,歴史,history
235,804117,所,place
236,803801,発売,Release
237,797767,だけ,only
238,797671,語,word
239,796984,なかっ,None
240,794355,ボックス,box
241,793229,生徒,student
242,777650,学,studies
243,777453,記録,record
244,771854,軍,army
245,769695,万,Ten thousand
246,765820,！,!
247,765704,場,place
248,763556,全,all
249,761971,別,another
250,757600,初,first time
251,757096,シリーズ,series
252,756662,土,soil
253,753039,木,wood
254,750709,総合,comprehensive
255,749709,何,what
256,748926,行っ,go
257,748250,ゲーム,game
258,747011,サイト,site
259,746953,関係,relationship
260,744523,られる,be able to
261,743466,お願い,please
262,742226,同じ,same
263,737968,サンド,sand
264,733087,つ,One
265,729892,考え,thought
266,727968,見,look
267,725205,火,fire
268,722260,アルバム,album
269,716209,点,point
270,713820,機,machine
271,713094,アニメ,anime
272,709712,国際,international
273,709688,法,law
274,709588,ドラマ,Drama
275,709142,大阪,Osaka
276,707676,ただし,however
277,705412,行わ,done
278,704547,たち,tachi
279,703296,柱,pillar
280,694919,マニュアル,manual
281,692638,リーグ,league
282,692238,コメント,comment
283,685733,教育,education
284,685032,野球,baseball
285,683949,方々,Persons
286,682216,確認,confirmation
287,682188,役,role
288,681805,株式会社,"Co., Ltd."
289,681494,同,same
290,679434,こんにちは,Hello
291,676634,書く,write
292,676397,長,long
293,674695,所属,Affiliation
294,674579,開始,start
295,673022,主,main
296,672643,形,shape
297,672212,アメリカ,America
298,662185,＝,=
299,661509,アカウント,account
300,661470,ここ,here
301,661402,選手権,championship
302,660288,出場,Participation
303,657404,たい,sea ​​bream
304,655937,存在,existence
305,653706,十,ten
306,650283,記述,description
307,649642,際,edge
308,647877,参考,reference
309,643658,事典,encyclopedia
310,643538,ら,and others
311,642199,史,history
312,636276,以上,that's all
313,631691,以下,below
314,629953,作,Made by
315,629309,競技,competition
316,627686,方法,Method
317,625995,結果,result
318,624346,世,world
319,623782,続け,continue
320,623250,における,in
321,619648,歳,age
322,619633,システム,system
323,616899,および,and
324,614459,科,Department
325,611356,権,right
326,609940,参加,participation
327,606502,車,car
328,606133,地域,region
329,605962,委員,committee member
330,601752,その後,after that
331,599897,高,high
332,599358,クラブ,club
333,596652,事業,business
334,596007,都,capital
335,595730,今後,from now on
336,595558,名前,name
337,594862,よく,often
338,594500,式,formula
339,591978,小学校,primary school
340,591236,度,Every time
341,590909,期,period
342,589187,作曲,Composition
343,588853,巻,roll
344,586350,発言,comment
345,586167,集,collection
346,585393,和書,Japanese book
347,584734,王,king
348,584026,ソート,sort
349,583015,バス,bus
350,582160,一部,part
351,580965,しかし,but
352,573047,？,?
353,572532,事,case
354,567564,多く,many
355,565390,にて,At
356,564384,開催,held
357,562398,開発,development
358,561779,デフォルト,Default
359,561153,下さい,Please
360,559728,なお,In addition
361,559163,百科,encyclopedia
362,554212,自由,freedom
363,553435,会社,company
364,553360,御,God
365,552723,作業,work
366,551824,読み,reading
367,551614,下,under
368,551350,編,Edited
369,551139,南,south
370,549811,事件,incident
371,549807,受け,received
372,549609,に関して,Regarding
373,549476,世紀,century
374,549456,カテゴリ,category
375,547095,過去,past
376,546637,代,teenager
377,544564,しまっ,Shima
378,543170,表記,Notation
379,541911,中央,center
380,540879,優勝,Victory
381,539342,以降,onwards
382,538378,明治,Meiji
383,538247,各,each
384,535958,ね,hey
385,535727,選挙,election
386,535173,出版,publication
387,533970,北,North
388,533628,文章,sentence
389,532277,発表,announcement
390,529661,中国,China
391,529651,アメリカ合衆国,united states of america
392,529369,年度,year
393,529310,…,…
394,525381,→,→
395,520049,円,circle
396,518793,協会,association
397,516581,市立,municipal
398,515842,旧,old
399,515081,英語,English
400,515035,機関,institution
401,514809,収録,Recording
402,513384,スポーツ,sports
403,512110,級,grade
404,511960,す,vinegar
405,511484,約,about
406,511124,担当,in charge
407,508332,及び,as well as
408,508320,東,east
409,506905,一般,general
410,506786,ドイツ,Germany
411,505941,著作,Works
412,505902,当時,at that time
413,505543,自分,myself
414,502755,文化,culture
415,499556,指定,designation
416,498062,地方,region
417,497971,物,thing
418,497873,参照,reference
419,497081,自身,himself
420,495789,年生,grade
421,495043,管理,management
422,494160,制作,production
423,493705,学生,student
424,493016,使っ,use
425,492404,企業,company
426,492105,終了,end
427,491345,都市,City
428,491261,すれ,Passed
429,491143,名称,name
430,489403,秒,seconds
431,488636,書き,writing
432,486777,社会,society
433,485909,廃止,abolition
434,485664,提案,suggestion
435,480843,グループ,group
436,480518,漫画,comics
437,480391,センター,Center
438,476368,女子,girls
439,473140,決定,decision
440,472380,女性,woman
441,469757,よ,Yo
442,469625,四,four
443,464650,子,Child
444,464508,京都,Kyoto
445,463499,理由,reason
446,462976,中学校,junior high school
447,462792,番号,number
448,461370,×,×
449,458904,ほか,others
450,457813,記載,description
451,456718,彼,he
452,456385,年代,era
453,456138,設立,Establishment
454,455273,にとって,for
455,454583,概要,overview
456,454213,番,number
457,453934,試合,game
458,453694,フランス,France
459,451928,まず,first
460,451520,交通,traffic
461,450516,オリンピック,Olympic
462,449936,禁止,Ban
463,449620,頁,page
464,448834,新規,new
465,448499,記念,memorial
466,448026,無視,ignore
467,447581,声,voice
468,447121,シングル,single
469,445797,他人,others
470,445356,部分,part
471,444924,意見,opinion
472,444633,スペース,space
473,444603,すぐ,soon
474,443612,でも,but
475,443419,色,color
476,443144,イギリス,England
477,441603,丁目,Chome
478,441330,政治,politics
479,439946,プロ,Professional
480,439897,文献,literature
481,439726,その他,others
482,439110,設置,Installation
483,438890,艦,ship
484,438625,施設,facility
485,437996,詳しく,in detail
486,437781,没,death
487,437137,公開,Release
488,436860,なさ,Nasa
489,436859,力,Power
490,435090,ラジオ,radio
491,432759,意味,meaning
492,432104,島,island
493,432029,通り,street
494,431653,もし,if
495,430834,画面,screen
496,430132,製作,Production
497,429800,店,shop
498,429436,テンプレート,template
499,429001,どう,copper
500,428573,に対して,against
501,423815,節,section
502,423379,修正,correction
503,423345,名古屋,Nagoya
504,422053,全国,Nationwide
505,420796,ながら,While
506,420338,府,prefecture
507,419100,連続,continuous
508,418889,呼ば,call
509,418262,西,West
510,418043,議員,Member of Parliament
511,417758,シーズン,Season
512,415766,総,total
513,415600,そう,yes
514,415137,回答,Answer
515,414811,はじめまして,nice to meet you
516,413274,対象,subject
517,412257,路線,route
518,412078,位置,position
519,411679,なけれ,Without it
520,410048,郵便,Post
521,408811,体,body
522,408413,道路,road
523,407974,いい,good
524,407746,人口,population
525,407360,押す,push
526,406786,隣,next
527,406268,同様,similar
528,406207,個人,individual
529,405452,行為,action
530,403898,面,surface
531,403379,追加,addition
532,403124,館,Hall
533,402046,そのもの,itself
534,401637,構い,No problem
535,401514,読ん,read
536,401044,馬,Horse
537,400966,期間,period
538,400545,”,”
539,399967,しよ,Let's do it
540,399965,せる,let
541,398737,科学,science
542,398285,ましょ,Masho
543,397377,城,castle
544,396957,ガイド,guide
545,396691,転送,transfer
546,395963,手,hand
547,395817,生,Living
548,393697,ま,Ma
549,392840,技術,technology
550,392828,あ,a
551,392177,持つ,have
552,390966,神,God
553,390920,作詞,Lyrics
554,390654,変換,conversion
555,390592,行う,conduct
556,390453,経済,economy
557,390192,北海道,Hokkaido
558,388003,あれ,that
559,386809,間違い,error
560,386523,団,group
561,386221,側,~ side
562,386123,楽しみ,fun
563,385728,表示,display
564,382760,必ず,surely
565,382604,種,seed
566,380633,閲覧,View
567,379629,楽曲,songs
568,379569,ニュース,news
569,378976,以外,other than
570,378944,川,river
571,378682,再,Re
572,378509,ところ,place
573,373124,隊,squad
574,372251,星,Star
575,372222,上部,upper part
576,372006,メッセージ,message
577,371262,とても,very
578,370865,現,current
579,370745,調査,investigation
580,370652,計画,plan
581,370579,実り,fruitfulness
582,370562,勝,Victory
583,369831,メンバー,member
584,369748,多き,many
585,369409,最終,Final
586,368023,新聞,newspaper
587,366484,同年,same year
588,366273,わから,I don't understand
589,365952,写真,photograph
590,365673,多い,many
591,363878,表,table
592,363677,ファースト,first
593,363380,中心,center
594,362046,改名,name change
595,361841,海,Ocean
596,361670,小説,novel
597,360907,ござい,Thank you
598,359943,女,woman
599,359781,大切,important
600,359749,荒らし,Vandalism
601,357420,タイトル,title
602,356965,キャラクター,character
603,356650,／,/
604,356604,ステップ,step
605,356308,明記,clearly stated
606,355946,山,Mountain
607,355717,受賞,Award
608,354893,直し,Repair
609,354826,“,“
610,354518,歌,song
611,354307,え,picture
612,354163,復帰,return
613,353866,※,*
614,353377,撮影,photograph
615,353327,注,note
616,353139,さらに,moreover
617,352646,車両,vehicle
618,352266,回避,Avoidance
619,352031,特定,identification
620,350148,先,destination
621,349892,新た,new
622,349180,書,book
623,349071,初心者,beginner
624,348804,状態,situation
625,348476,トレーニング,training
626,348429,法人,Corporation
627,348271,提供,offer
628,347761,間違え,mistake
629,347657,院,Hospital
630,345325,劇場,theater
631,345272,または,or
632,344734,出,Out
633,344488,試し,trial
634,343603,神社,shrine
635,343570,予定,schedule
636,342939,文,Sentence
637,342346,兼ね,Also
638,342201,例,example
639,341807,でし,Deshi
640,341671,地区,district
641,341418,移動,move
642,341186,福岡,Fukuoka
643,340935,当該,concerned
644,340918,に対する,against
645,340916,高校,high school
646,340750,得点,score
647,339711,年齢,age
648,339613,報告,report
649,339068,目次,table of contents
650,338114,男,Man
651,337886,頃,Around the time
652,337772,省,Ministry
653,337690,みなさん,everyone
654,337033,成績,Grades
655,335952,改竄,Tampering
656,335405,戦争,war
657,335397,広島,Hiroshima
658,335331,攻撃,attack
659,334516,小,small
660,334301,資料,Document
661,333692,ほど,moderation
662,333383,うち,home
663,333266,経,Sutra
664,332679,プロジェクト,project
665,331336,ちょっとした,It was a little
666,331328,影響,influence
667,331228,建築,architecture
668,331070,曖昧,ambiguous
669,330130,場所,place
670,329884,対応,correspondence
671,329541,作り上げる,build up
672,328532,ワンポイント,one point
673,328111,以前,Before
674,327218,航空,aviation
675,326460,橋,bridge
676,326369,字,character
677,326331,○,○
678,326247,保存,keep
679,325664,官,Government
680,325411,花,flower
681,325407,超,Hyper
682,325349,愛,Love
683,323908,最後,last
684,323119,室,room
685,323083,イタリア,Italy
686,322474,台,stand
687,321222,無,Nothing
688,321149,国立,national
689,320231,販売,sale
690,319576,光,light
691,319259,協力,cooperation
692,318617,いたし,I did it
693,318540,ロシア,Russia
694,317606,両,both
695,317248,横浜,Yokohama
696,317044,特に,especially
697,316140,編曲,arrangement
698,316060,六,Six
699,315948,配信,delivery
700,315933,制,system
701,315534,注釈,Annotation
702,315327,サイズ,size
703,314860,員,member
704,314787,主義,principle
705,314221,不明,not clear
706,313370,卒業,graduation
707,312184,いう,say
708,311778,言語,language
709,311640,県立,Prefectural
710,311503,枠,frame
711,311499,用い,use
712,311409,八,Eight
713,310963,掲載,publish
714,309076,統合,integration
715,308753,組織,organization
716,308462,得,profit
717,308013,派,sect
718,306907,営業,sales
719,306220,人間,human
720,304980,こちら,here
721,304562,備考,remarks
722,304473,存命,alive
723,304124,企画,plan
724,304077,自動車,car
725,303860,モデル,model
726,303849,千,thousand
727,302655,海軍,navy
728,302521,ありがとう,thank you
729,302509,右,right
730,301758,構成,composition
731,301484,公園,park
732,301411,ご覧,Take a look
733,301174,保護,protection
734,300948,政府,government
735,300267,今,now
736,299959,しか,deer
737,298828,統計,statistics
738,298122,章,chapter
739,297946,愛知,Aichi
740,297577,舞台,stage
741,296616,お知らせ,notice
742,296558,知ら,I don't know
743,296439,最初,first
744,294072,ち,Chi
745,293780,韓国,South Korea
746,293446,教授,Professor
747,293008,そして,and
748,292909,なし,none
749,291912,時点,point in time
750,291552,列車,train
751,290650,書い,writing
752,290192,百,hundred
753,289628,組,set
754,289423,条,article
755,289209,理解,Understanding
756,288704,文庫,Bunko
757,288669,最高,the best
758,288094,所在地,location
759,287937,父,father
760,286915,テーマ,theme
761,286444,行政,administration
762,285779,完全,Perfect
763,285053,生活,life
764,285011,七,seven
765,284652,設定,setting
766,284439,男子,Boys
767,283969,俳優,actor
768,283831,実施,implementation
769,282747,朝,morning
770,282208,研究所,research institute
771,282005,ライブ,live
772,282005,陸上,land
773,281699,空港,airport
774,280567,率,rate
775,280162,専門,specialty
776,280102,グランプリ,Grand Prix
777,279462,特筆,Special mention
778,279306,物語,story
779,279148,枚,Sheet
780,279102,主要,major
781,278956,独立,independence
782,278027,建設,construction
783,277392,娘,daughter
784,277039,正,Positive
785,276754,森,forest
786,276600,未,Not yet
787,275875,音,sound
788,275083,しまう,Put it away
789,274108,生年月日,date of birth
790,273646,校,school
791,272612,通常,usually
792,272356,発生,occurrence
793,272078,群,group
794,272056,目的,the purpose
795,272049,獲得,acquisition
796,270874,全て,all
797,270717,源,source
798,270636,向け,for
799,270239,国道,national highway
800,269544,公,public
801,269474,女優,actress
802,269204,一方,on the other hand
803,269160,就任,Appointment
804,268447,年間,yearly
805,268238,風,Wind
806,267834,件,subject
807,266853,かも,maybe
808,266666,提出,submission
809,266575,反対,Opposition
810,265844,連合,union
811,265673,学者,scholar
812,265400,本社,main office
813,264855,解説,Explanation
814,264616,祭,festival
815,264115,新潟,Niigata
816,263621,務め,duty
817,263600,わ,circle
818,263476,それぞれ,Each
819,263225,分類,classification
820,262914,一つ,one
821,262537,ちゃん,Chan
822,262533,千葉,Chiba
823,262516,判断,judgment
824,262510,デビュー,debut
825,262317,団体,group
826,260514,宇宙,universe
827,259534,投票,vote
828,259421,かつて,Once upon a time
829,259395,戦闘,battle
830,259245,アジア,Asia
831,259216,当初,Initially
832,259112,財団,foundation
833,258724,重,heavy
834,258720,指摘,pointing out
835,257782,じ,character
836,257031,これら,these
837,256858,と共に,with
838,256480,億,hundred million
839,255823,鈴木,Suzuki
840,255519,サービス,service
841,254500,とも,friend
842,253844,之,this
843,253658,年月日,date
844,253619,生まれ,birth
845,252753,佐藤,Sato
846,252028,製造,manufacturing
847,252019,電車,train
848,251922,副,Deputy
849,251483,外,outside
850,251311,複数,multiple
851,251237,構造,structure
852,251117,思わ,I think
853,250923,デザイン,design
854,250784,雑誌,magazine
855,250760,限定,limited
856,250061,発行,issue
857,249973,帝国,empire
858,249958,原作,original work
859,249528,とともに,with
860,249385,論,theory
861,249262,重要,important
862,248682,事務所,office
863,248657,文字,letter
864,248395,脚本,Script
865,247031,評価,evaluation
866,246963,心,heart
867,246920,票,vote
868,246872,病院,hospital
869,246746,状況,situation
870,246379,競馬,horse racing
871,246140,ダム,dam
872,245478,持っ,have
873,245228,行,line
874,245217,契約,contract
875,245099,国内,Domestic
876,244937,良い,good
877,243766,警察,police
878,243178,寺,temple
879,243112,対,versus
880,243009,こ,child
881,242841,戦い,Fight
882,242694,独自,unique
883,242640,こう,like this
884,242169,データ,data
885,241940,主張,claim
886,241797,☆,☆
887,241661,誌,magazine
888,241452,スーパー,Supermarket
889,241353,藩,domain
890,240979,り,the law of nature
891,240957,バンド,band
892,240684,真,true
893,240324,埼玉,Saitama
894,240099,言葉,words
895,240081,夏,summer
896,239099,映像,picture
897,238803,実際,actual
898,238686,いく,go
899,238566,付,With
900,238126,公演,Performance
901,238077,含む,include
902,237471,イベント,event
903,237119,項,term
904,237071,フジテレビ,"Fuji Television Network, Inc"
905,237049,達,reach
906,236846,よろしく,nice to meet you
907,236366,リリース,release
908,236039,師,teacher
909,235784,最大,maximum
910,235747,代目,generation
911,235588,アップ,up
912,235420,量,amount
913,235340,マン,man
914,235271,運営,operation
915,234701,運動,motion
916,234537,表現,Expression
917,234428,田中,Tanaka
918,234418,彼女,she
919,233324,街,city
920,233287,家族,family
921,233059,訳,reason
922,232682,米,rice
923,232158,ノ,of
924,231898,ログイン,Login
925,231588,履歴,history
926,230629,会議,meeting
927,230423,圏,sphere
928,230422,石,stone
929,230293,現代,present day
930,229958,神奈川,Kanagawa
931,229781,面積,area
932,229467,事実,fact
933,229396,使わ,use
934,229251,文学,literature
935,229223,ヨーロッパ,Europe
936,229024,着,Arrival
937,227998,基礎,basics
938,227632,ゆう,excellent
939,227305,少年,boy
940,227146,運行,Operation
941,227137,どの,Which
942,226348,高い,expensive
943,226193,翻訳,translation
944,226043,行い,conduct
945,225740,様,Mr.
946,225280,生産,production
947,224966,士,scholar
948,224944,すべて,all
949,224925,相手,partner
950,224858,船,ship
951,224638,合併,merger
952,224293,無い,None
953,224202,山口,Yamaguchi
954,224080,作っ,Made
955,223945,詳細,detail
956,223910,開業,Opening of business
957,223900,夢,dream
958,223689,電気,electricity
959,223497,福島,Fukushima
960,223287,環境,environment
961,222877,非,Non
962,222229,全体,whole
963,221888,高速,high speed
964,221684,ネット,Net
965,221461,段,step
966,221461,国家,nation
967,221201,江戸,Edo
968,220980,分割,Split
969,220812,競走,race
970,220363,まま,Mama
971,220052,地名,place name
972,219834,盤,board
973,219735,大正,Taisho
974,219613,国籍,nationality
975,219458,採用,Recruitment
976,219237,静岡,Shizuoka
977,218979,長野,Nagano
978,218581,図,figure
979,218247,気,air
980,218066,通信,communication
981,217889,いただき,Itadaki
982,217849,行動,action
983,217650,勝利,victory
984,217634,わけ,reason
985,217131,発見,discovery
986,217028,初代,first generation
987,216932,スペイン,Spain
988,216222,社長,president
989,216177,種類,kinds
990,216096,能力,ability
991,215992,妻,wife
992,215572,ほう,law
993,215394,母,mother
994,215370,学園,Academy
995,215300,通,General
996,215071,英,English
997,214721,支援,support
998,214272,登録,Registration
999,213903,編成,organization
1000,213607,共同,Joint
1001,213573,港,port
1002,213508,経営,management
1003,213418,ものの,of things
1004,213111,夜,night
1005,213076,身長,height
1006,213004,対処,handle
1007,212662,統一,unification
1008,212661,指導,guidance
1009,212508,学会,Society
1010,211856,主演,starring
1011,211524,認め,recognition
1012,211519,コード,code
1013,211130,設計,design
1014,210687,定義,definition
1015,210659,共和,republic
1016,210620,連邦,federal
1017,210364,岡山,Okayama
1018,210288,やめ,stop
1019,209715,神戸,Kobe
1020,209423,る,Ru
1021,209345,基,base
1022,209205,中村,Nakamura
1023,209135,陸軍,army
1024,208827,〈,<
1025,208779,太,Thick
1026,208627,といった,such as
1027,208445,指揮,command
1028,208376,検証,verification
1029,207718,入り,enter
1030,207334,回戦,round
1031,206906,国民,people
1032,206607,言う,To tell
1033,206362,運転,driving
1034,206340,更新,update
1035,206279,党,party
1036,206013,別名,alias
1037,205819,春,spring
1038,205562,エンジン,engine
1039,204516,部隊,troops
1040,204380,加筆,Addition
1041,204262,初めて,first time
1042,204017,屋,shop
1043,203890,原,original
1044,203804,思っ,Thoughts
1045,203730,デジタル,Digital
1046,203567,大臣,minister
1047,203159,兵庫,Hyogo
1048,203080,山田,Yamada
1049,203073,使う,use
1050,203058,衆議院,House of Representatives
1051,202746,観光,sightseeing
1052,202345,聖,holy
1053,202296,解除,Cancellation
1054,202109,平,flat
1055,201727,最も,most
1056,201428,大統領,president
1057,201162,－,-
1058,200889,作家,Writer
1059,200831,賛成,agreement
1060,200829,自治体,local government
1061,200748,芸術,art
1062,200745,加え,addition
1063,200591,，,，
1064,200491,完成,Complete
1065,200208,正式,formal
1066,200182,天,Heaven
1067,199932,時期,season
1068,199771,系列,series
1069,199730,族,family
1070,199538,男性,male
1071,199236,上記,the above
1072,199205,形式,format
1073,199177,丸,circle
1074,199163,いっ,Good
1075,199153,〉,〉
1076,199100,類,kind
1077,198856,高橋,Takahashi
1078,198679,要,Essential
1079,198625,郎,ro
1080,198512,非常,emergency
1081,198481,誕生,birth
1082,198446,本人,The person himself
1083,198292,岐阜,Gifu
1084,198234,声優,voice actor
1085,198046,あるいは,or
1086,197877,週間,week
1087,197599,プロデューサー,producer
1088,197525,九,Nine
1089,196583,葉,leaf
1090,196492,しれ,Shire
1091,195671,特徴,Features
1092,195660,少女,girl
1093,195651,付け,attached
1094,194276,産業,industry
1095,194259,方面,Direction
1096,194182,信頼,trust
1097,194080,階,floor
1098,193698,図書館,library
1099,193452,観点,point of view
1100,193412,誰,Who
1101,193268,頭,Head
1102,193250,スペシャル,Special
1103,192871,与え,give
1104,192470,ほとんど,largely
1105,192329,左,left
1106,192202,導入,introduction
1107,191958,死亡,death
1108,191840,アイドル,Idol
1109,191833,当,Current
1110,191566,｜,｜
1111,191449,部門,Department
1112,191163,林,Hayashi
1113,190862,歌手,singer
1114,190626,沖縄,Okinawa
1115,190422,子供,child
1116,190374,会長,chairman
1117,190282,姿,figure
1118,189965,述べ,stated
1119,189763,王国,kingdom
1120,189685,ひ,fire
1121,189660,結婚,marriage
1122,189178,疑問,doubt
1123,189137,決勝,final
1124,188836,専用,exclusive
1125,188543,演出,Direction
1126,188516,事故,accident
1127,188483,門,gate
1128,188249,ロック,rock
1129,188153,言わ,said
1130,188095,医療,medical care
1131,188065,オリコン,oricon
1132,187744,熊本,Kumamoto
1133,187606,リスト,list
1134,187277,異なる,different
1135,187174,座,seat
1136,187025,感じ,feeling
1137,186970,経歴,Career
1138,186761,内閣,cabinet
1139,186570,カード,card
1140,186558,搭載,mounted
1141,186428,中立,neutral
1142,186393,周辺,neighborhood
1143,186335,作戦,strategy
1144,186262,連盟,federation
1145,186239,教会,church
1146,185729,再び,again
1147,185659,ファン,fan
1148,185558,自然,Nature
1149,185210,選出,election
1150,185165,オリジナル,original
1151,185160,大きな,big
1152,185140,市町村,Municipality
1153,185029,マーク,mark
1154,184977,ニューヨーク,new york
1155,184709,今回,this time
1156,184181,ケース,Case
1157,183932,堂,Hall
1158,183837,日本テレビ,Nippon Television
1159,183748,テレビ朝日,tv asahi
1160,183510,ルール,rule
1161,183425,制度,system
1162,183393,本名,real name
1163,182753,世帯,household
1164,182218,里,Sato
1165,182217,地理,geography
1166,182163,始め,start
1167,182147,ホーム,home
1168,181973,不,No
1169,181832,製,made
1170,181604,鹿児島,Kagoshima
1171,181604,連絡,contact
1172,181257,見る,look
1173,181160,言っ,say
1174,181099,出し,broth
1175,181085,龍,Dragon
1176,180970,程度,degree
1177,180941,明,Akira
1178,180906,いずれ,Either
1179,180901,基準,standard
1180,180878,理事,director
1181,180511,ポジション,position
1182,180457,ガン,gun
1183,180409,そこ,There
1184,180259,合意,agreement
1185,180195,運用,Operation
1186,180085,ユーザー,user
1187,179956,多数,many
1188,179951,札幌,Sapporo
1189,179894,君,you
1190,179824,周年,anniversary
1191,179659,区間,section
1192,179273,地球,earth
1193,179165,レース,race
1194,179091,口,mouth
1195,178905,く,Ku
1196,178784,ベスト,vest
1197,178563,入力,input
1198,178553,普通,usually
1199,178449,候補,candidate
